N      Time         Average_OB     Max_OB   Min_OB  
433    0.000000     217.00         433      1       
434    0.000000     217.50         434      1       
435    0.000000     218.00         435      1       
436    0.000000     218.50         436      1       
437    0.000000     219.00         437      1       
438    0.000000     219.50         438      1       
439    0.000000     220.00         439      1       
440    0.000000     220.50         440      1       
441    0.000000     221.00         441      1       
442    0.000000     221.50         442      1       
443    0.000000     222.00         443      1       
444    0.000000     222.50         444      1       
445    0.000000     223.00         445      1       
446    0.000000     223.50         446      1       
447    0.000000     224.00         447      1       
448    0.000000     224.50         448      1       
449    0.000000     225.00         449      1       
450    0.000000     225.50         450      1       
451    0.000000     226.00         451      1       
452    0.000000     226.50         452      1       
453    0.000000     227.00         453      1       
454    0.000000     227.50         454      1       
455    0.000000     228.00         455      1       
456    0.000000     228.50         456      1       
457    0.000000     229.00         457      1       
458    0.000000     229.50         458      1       
459    0.000000     230.00         459      1       
460    0.000000     230.50         460      1       
461    0.000000     231.00         461      1       
462    0.000000     231.50         462      1       
463    0.000000     232.00         463      1       
464    0.000000     232.50         464      1       
465    0.000000     233.00         465      1       
466    0.000000     233.50         466      1       
467    0.000000     234.00         467      1       
468    0.000000     234.50         468      1       
469    0.000000     235.00         469      1       
470    0.000000     235.50         470      1       
471    0.000000     236.00         471      1       
472    0.000000     236.50         472      1       
473    0.000000     237.00         473      1       
474    0.000000     237.50         474      1       
475    0.000000     238.00         475      1       
476    0.000000     238.50         476      1       
477    0.000000     239.00         477      1       
478    0.000000     239.50         478      1       
479    0.000000     240.00         479      1       
480    0.000000     240.50         480      1       
481    0.000000     241.00         481      1       
482    0.000000     241.50         482      1       
483    0.000000     242.00         483      1       
484    0.000000     242.50         484      1       
485    0.000000     243.00         485      1       
486    0.000000     243.50         486      1       
487    0.000000     244.00         487      1       
488    0.000000     244.50         488      1       
489    0.000000     245.00         489      1       
490    0.000000     245.50         490      1       
491    0.000000     246.00         491      1       
492    0.000000     246.50         492      1       
493    0.000000     247.00         493      1       
494    0.000000     247.50         494      1       
495    0.000000     248.00         495      1       
496    0.000000     248.50         496      1       
497    0.000000     249.00         497      1       
498    0.000000     249.50         498      1       
499    0.000000     250.00         499      1       
500    0.000000     250.50         500      1       
501    0.000000     251.00         501      1       
502    0.000000     251.50         502      1       
503    0.000000     252.00         503      1       
504    0.000000     252.50         504      1       
505    0.000000     253.00         505      1       
506    0.000000     253.50         506      1       
507    0.000000     254.00         507      1       
508    0.000000     254.50         508      1       
509    0.000000     255.00         509      1       
510    0.000000     255.50         510      1       
511    0.000000     256.00         511      1       
512    0.000000     256.50         512      1       
513    0.000000     257.00         513      1       
514    0.000000     257.50         514      1       
515    0.000000     258.00         515      1       
516    0.000000     258.50         516      1       
517    0.000000     259.00         517      1       
518    0.000000     259.50         518      1       
519    0.000000     260.00         519      1       
520    0.000000     260.50         520      1       
521    0.000000     261.00         521      1       
522    0.000000     261.50         522      1       
523    0.000000     262.00         523      1       
524    0.000000     262.50         524      1       
525    0.000000     263.00         525      1       
526    0.000000     263.50         526      1       
527    0.000000     264.00         527      1       
528    0.000000     264.50         528      1       
529    0.000000     265.00         529      1       
530    0.000000     265.50         530      1       
531    0.000000     266.00         531      1       
532    0.000000     266.50         532      1       
533    0.000000     267.00         533      1       
534    0.000000     267.50         534      1       
535    0.000000     268.00         535      1       
536    0.000000     268.50         536      1       
537    0.000000     269.00         537      1       
538    0.000000     269.50         538      1       
539    0.000000     270.00         539      1       
540    0.000000     270.50         540      1       
541    0.000000     271.00         541      1       
542    0.000000     271.50         542      1       
543    0.000000     272.00         543      1       
544    0.000000     272.50         544      1       
545    0.000000     273.00         545      1       
546    0.000000     273.50         546      1       
547    0.000000     274.00         547      1       
548    0.000000     274.50         548      1       
549    0.000000     275.00         549      1       
550    0.000000     275.50         550      1       
551    0.000000     276.00         551      1       
552    0.000000     276.50         552      1       
553    0.000000     277.00         553      1       
554    0.000000     277.50         554      1       
555    0.000000     278.00         555      1       
556    0.000000     278.50         556      1       
557    0.000000     279.00         557      1       
558    0.000000     279.50         558      1       
559    0.000000     280.00         559      1       
560    0.000000     280.50         560      1       
561    0.000000     281.00         561      1       
562    0.000000     281.50         562      1       
563    0.000000     282.00         563      1       
564    0.000000     282.50         564      1       
565    0.000000     283.00         565      1       
566    0.000000     283.50         566      1       
567    0.000000     284.00         567      1       
568    0.000000     284.50         568      1       
569    0.000000     285.00         569      1       
570    0.000000     285.50         570      1       
571    0.000000     286.00         571      1       
572    0.000000     286.50         572      1       
573    0.000000     287.00         573      1       
574    0.000000     287.50         574      1       
575    0.000000     288.00         575      1       
576    0.000000     288.50         576      1       
577    0.000000     289.00         577      1       
578    0.000000     289.50         578      1       
579    0.000000     290.00         579      1       
580    0.000000     290.50         580      1       
581    0.000000     291.00         581      1       
582    0.000001     291.50         582      1       
583    0.000000     292.00         583      1       
584    0.000000     292.50         584      1       
585    0.000000     293.00         585      1       
586    0.000000     293.50         586      1       
587    0.000000     294.00         587      1       
588    0.000000     294.50         588      1       
589    0.000000     295.00         589      1       
590    0.000000     295.50         590      1       
591    0.000000     296.00         591      1       
592    0.000000     296.50         592      1       
593    0.000000     297.00         593      1       
594    0.000000     297.50         594      1       
595    0.000000     298.00         595      1       
596    0.000000     298.50         596      1       
597    0.000000     299.00         597      1       
598    0.000000     299.50         598      1       
599    0.000000     300.00         599      1       
600    0.000000     300.50         600      1       
601    0.000000     301.00         601      1       
602    0.000000     301.50         602      1       
603    0.000000     302.00         603      1       
604    0.000000     302.50         604      1       
605    0.000000     303.00         605      1       
606    0.000000     303.50         606      1       
607    0.000000     304.00         607      1       
608    0.000000     304.50         608      1       
609    0.000000     305.00         609      1       
610    0.000000     305.50         610      1       
611    0.000000     306.00         611      1       
612    0.000000     306.50         612      1       
613    0.000000     307.00         613      1       
614    0.000000     307.50         614      1       
615    0.000000     308.00         615      1       
616    0.000000     308.50         616      1       
617    0.000000     309.00         617      1       
618    0.000000     309.50         618      1       
619    0.000000     310.00         619      1       
620    0.000000     310.50         620      1       
621    0.000000     311.00         621      1       
622    0.000000     311.50         622      1       
623    0.000000     312.00         623      1       
624    0.000000     312.50         624      1       
625    0.000000     313.00         625      1       
626    0.000000     313.50         626      1       
627    0.000000     314.00         627      1       
628    0.000000     314.50         628      1       
629    0.000000     315.00         629      1       
630    0.000000     315.50         630      1       
631    0.000000     316.00         631      1       
632    0.000000     316.50         632      1       
633    0.000000     317.00         633      1       
634    0.000000     317.50         634      1       
635    0.000000     318.00         635      1       
636    0.000000     318.50         636      1       
637    0.000000     319.00         637      1       
638    0.000000     319.50         638      1       
639    0.000000     320.00         639      1       
640    0.000000     320.50         640      1       
641    0.000000     321.00         641      1       
642    0.000000     321.50         642      1       
643    0.000000     322.00         643      1       
644    0.000000     322.50         644      1       
645    0.000000     323.00         645      1       
646    0.000000     323.50         646      1       
647    0.000000     324.00         647      1       
648    0.000000     324.50         648      1       
649    0.000000     325.00         649      1       
650    0.000000     325.50         650      1       
651    0.000000     326.00         651      1       
652    0.000000     326.50         652      1       
653    0.000000     327.00         653      1       
654    0.000000     327.50         654      1       
655    0.000000     328.00         655      1       
656    0.000000     328.50         656      1       
657    0.000000     329.00         657      1       
658    0.000000     329.50         658      1       
659    0.000000     330.00         659      1       
660    0.000000     330.50         660      1       
661    0.000000     331.00         661      1       
662    0.000000     331.50         662      1       
663    0.000000     332.00         663      1       
664    0.000000     332.50         664      1       
665    0.000000     333.00         665      1       
666    0.000000     333.50         666      1       
667    0.000000     334.00         667      1       
668    0.000000     334.50         668      1       
669    0.000000     335.00         669      1       
670    0.000000     335.50         670      1       
671    0.000000     336.00         671      1       
672    0.000000     336.50         672      1       
673    0.000000     337.00         673      1       
674    0.000000     337.50         674      1       
675    0.000000     338.00         675      1       
676    0.000000     338.50         676      1       
677    0.000000     339.00         677      1       
678    0.000000     339.50         678      1       
679    0.000000     340.00         679      1       
680    0.000000     340.50         680      1       
681    0.000001     341.00         681      1       
682    0.000000     341.50         682      1       
683    0.000000     342.00         683      1       
684    0.000000     342.50         684      1       
685    0.000000     343.00         685      1       
686    0.000000     343.50         686      1       
687    0.000000     344.00         687      1       
688    0.000000     344.50         688      1       
689    0.000000     345.00         689      1       
690    0.000000     345.50         690      1       
